category,standard_name,aliases
비이온계 계면활성제,폴리옥시에틸렌알킬에테르,폴리옥시에틸렌알킬에테르
식물추출물,폴스애플민트잎추출물,폴스애플민트잎추출물
천연추출물,프로폴리스추출물,프로폴리스 추출물
,,프로폴리스추출물
살충제,프탈트린,프탈트린
,,프탈트린(시스:트란이성체비 20:80)
살충제,피레트린엑스,피레트린엑스
가용화제/비이온계 계면활성제,피이지-40하이드로제네이티드캐스터오일,폴리옥시에틸렌경화피마자유
,,피이 지-40하이드로제네이티드캐스터오일
,,피이지-40하이드로제네이티드캐스터오일
,,"아주까리 기름, 수소첨가, 에톡실레이티드"
향료 알레르기 성분,하이드록시시트로넬알,하이드록시시트로넬알
보습,하이알루로닉애씨드,하이알루로닉애씨드
향료,향료,과일향
,,구연산 향료
,,레몬향
,,솔잎향
,,시트러스향
,,조합향료/과일향
,,체리향
,,향료
,,향료(디프로필렌 글라이콜 등)
,,향료(리나릴 아세트산 등)
,,향료(리모넨 등)
,,향료(아이소프로필 미리스테이트 등)
,,향료(이소이수퍼 등)
,,향료(캄펜 등)
,,향료(터피네올아세테이트)
,,허브향
향료 알레르기성분,헥실신남알,헥실신남알
pH조절제,황산,황산
무기염,황산아연,황산아연
